,SN Name,SN Type,ExtraCare,SeMask2,Good,Mask,seMask,IFU RA,IFU DEC,SN RA,SN DEC,Separation,ArcName,SN Time,IFU Time,Redshift,Note
345,SN2007bm,Ia,3,1 2 3 4,0,2,1 2 3,171.259648,-9.798182,171.259579166667,-9.79828055555556,0.430708183615462,ADP.2019-03-06T02:54:12.118,2007-04-20 00:00:00,2019-02-19T07:55:57.203,0.06264,
346,SN2007bc,Ia,1,1,1,,,169.814238,20.813824,169.810708333333,20.8090305555556,20.9490838240342,ADP.2016-06-17T18:25:05.260,2007-04-04 00:00:00,2015-05-29T00:36:19.483,0.02075,Look like a lense galaxy
347,SN2007ba,Ia-pec,,,,,,229.174451,7.397163,229.177629166667,7.39661111111111,11.5188246772288,ADP.2016-06-17T18:13:44.247,2007-03-29 00:00:00,2015-05-28T02:08:45.310,0.03825,
348,SN2007as,Ia,0,3,0,13,2,141.909985,-80.178486,141.900041666667,-80.1775611111111,6.95512233630354,ADP.2018-10-25T10:18:13.394,2007-03-13 00:00:00,2018-09-28T07:39:26.890,0.0176,
349,SN2007al,Ia,0,15,0,7,1,149.828974,-19.472887,149.827,-19.4738305555556,7.51177563392732,ADP.2017-03-28T14:09:36.373,2007-03-10 00:00:00,2015-05-31T00:26:34.023,0.012152,
350,SN2007ai,Ia,0,7 8 14,1,,,243.222754,-21.626603,243.223920833333,-21.6301888888889,13.4868571491656,ADP.2018-06-02T02:30:18.663,2007-03-06 00:00:00,2018-05-26T05:57:07.416,0.033045,
351,SN2007af,Ia,,,1,,,215.587496,-0.393815,215.58775,-0.393811111111111,0.914485571109526,ADP.2016-10-09T17:53:52.615,2007-03-01 00:00:00,2016-05-30T05:33:01.886,0.005525,
352,SN2007S,Ia,0,2,1,3,1,150.129144,4.407219,150.13025,4.40728055555556,3.9760067201901,ADP.2016-06-25T12:12:49.422,2007-01-29 00:00:00,2015-06-26T23:08:01.983,0.01388,
353,SN2007C,Ib,,,,,,197.203148,-6.777815,197.205420833333,-6.78361111111111,22.392075866002,ADP.2016-10-09T19:03:51.688,2007-01-07 00:00:00,2016-06-01T02:14:08.836,nan,
354,SN2006py,Ia,0,3,1,1,,340.424876,-0.137014,340.425208333333,-0.136919444444444,1.24387979339918,ADP.2016-06-24T10:28:35.817,2006-11-15 00:00:00,2015-06-05T07:21:07.693,0.05783,
355,SN2006ov,II,,,,,,185.478731,4.489804,185.480420833333,4.48796944444444,8.96655803576435,ADP.2020-02-07T13:16:50.799,2006-11-24 00:00:00,2020-01-30T07:08:39.390,nan,
356,SN2006ot,Ia-pec,,,,,,33.768932,-20.767464,33.7701708333333,-20.7661694444444,6.25369190192269,ADP.2016-07-11T13:38:27.862,2006-11-22 00:00:00,2015-07-11T07:16:34.186,0.0505,
357,SN2006os,Ia,0,1,0,1,1,43.752525,16.012616,43.7542083333333,16.0096694444444,12.1016891991484,ADP.2016-07-11T15:14:15.414,2006-11-21 00:00:00,2015-07-21T08:52:00.403,0.032826,
358,SN2006ob,Ia,0,1 4,0,1,1 3,27.952244,0.263593,27.9504583333333,0.263419444444444,6.45862427642852,ADP.2016-07-11T14:04:30.018,2006-11-13 00:00:00,2015-07-13T08:34:55.376,0.05916,A stripe at the lower right can be removed
359,SN2006my,II,,,,,,190.924981,16.394413,190.91975,16.38725,31.4856964321215,ADP.2016-06-21T11:21:50.140,2006-11-08 00:00:00,2015-05-16T00:04:38.690,nan,
360,SN2006ms,II,,,,,,309.584657,-52.110777,309.5855,-52.1155305555556,17.2139837865149,ADP.2019-06-07T04:01:46.396,2006-11-06 00:00:00,2019-05-01T09:09:26.510,nan,
361,SN2006mr,Ia-pec,,,,,,50.676587,-37.206238,50.6785,-37.2079194444444,8.16864492817319,ADP.2018-09-11T21:30:28.509,2006-11-05 00:00:00,2018-07-24T08:30:49.256,0.005911,
362,SN2006lu,Ia,1,41,1,3,1,138.820817,-25.599895,138.823458333333,-25.6000805555556,8.60132449548153,ADP.2016-06-14T09:15:58.860,2006-10-30 00:00:00,2015-04-13T01:19:19.340,0.054,
363,SN2006lc,Ib/c,,,,,,341.10147,-0.161542,341.101879166667,-0.164969444444444,12.4264112608473,ADP.2017-09-22T10:41:54.308,2006-10-21 00:00:00,2017-08-04T07:44:56.560,nan,
364,SN2006is,Ia,2,,0,1,,79.391799,-23.781509,79.3932083333333,-23.7817194444444,4.70420170867321,ADP.2016-07-12T07:27:20.827,2006-09-18 00:00:00,2015-08-03T08:46:56.390,0.0314418,
365,SN2006hx,Ia,0,3,0,2,1,18.48761,0.37188,18.4887916666667,0.371669444444444,4.32091634847348,ADP.2016-06-25T11:26:36.852,2006-09-28 00:00:00,2015-06-21T08:28:20.430,0.04539,
366,SN2006hb,Ia,1,1,1,,,75.504206,-21.134181,75.5053291666667,-21.1319694444444,8.8097111655121,ADP.2018-10-17T14:54:22.224,2006-09-27 00:00:00,2018-08-29T07:08:45.210,0.015294,
367,SN2006gt,Ia-pec,,,,,,14.07513,-1.625605,14.0720791666667,-1.62943888888889,17.635877871668,ADP.2016-06-25T11:26:36.822,2006-09-18 00:00:00,2015-06-21T07:26:30.023,0.04477,
368,SN2006fw,Ia,1,2,1,2,5,26.791747,-0.146726,26.7930791666667,-0.147,4.8961751895881,ADP.2016-06-25T11:26:36.844,2006-09-11 00:00:00,2015-06-21T09:31:28.386,0.0835,
369,SN2006fo,Ic,,,,,,38.164546,0.619753,38.1620416666667,0.6175,12.1266914235522,ADP.2016-10-17T15:59:37.894,2006-09-16 00:00:00,2016-07-24T07:05:30.110,nan,
370,SN2006et,Ia,0,5,0,1,1,10.691135,-23.56164,10.6909208333333,-23.5584388888889,11.5456504530213,ADP.2016-06-25T12:12:49.414,2006-09-03 00:00:00,2015-06-27T08:13:35.970,0.022345,
371,SN2006eq,Ia,1,1,1,3,,322.154136,1.228238,322.154708333333,1.22811111111111,2.10996778496261,ADP.2016-06-17T17:51:10.797,2006-08-26 00:00:00,2015-05-23T07:40:54.386,0.048358,
372,SN2006ej,Ia,1,3,2,1,1,9.751166,-9.014891,9.74904166666667,-9.01571944444444,8.12061664493538,ADP.2016-06-24T11:45:22.441,2006-08-23 00:00:00,2015-06-18T07:11:32.086,0.020264,
373,SN2006ef,Ia,0,1,1,,,31.079275,-8.735197,31.0812916666667,-8.72838888888889,25.5380849284627,ADP.2016-07-11T14:04:30.052,2006-08-18 00:00:00,2015-07-13T07:33:37.840,0.01781,
374,SN2006dd,Ia,,,3,1,1,50.676587,-37.206238,50.6734208333333,-37.2036111111111,13.1091069316942,ADP.2018-09-11T21:30:28.509,2006-06-19 00:00:00,2018-07-24T08:30:49.256,0.005911,
375,SN2006cx,II,,,,,,338.985489,20.322908,338.985208333333,20.3214194444444,5.44192130955339,ADP.2019-06-16T06:18:07.682,2006-06-08 00:00:00,2019-05-21T09:19:46.473,nan,
376,SN2006cu,IIn,,,,,,221.927093,9.659775,221.930458333333,9.65941944444445,12.0118253081248,ADP.2016-10-05T16:52:03.498,2006-05-29 00:00:00,2016-05-22T05:24:24.860,nan,
377,SN2006cm,Ia,1,1,0,1,1,320.073057,-1.684236,320.07275,-1.68408055555556,1.23837156783735,ADP.2016-12-02T09:39:19.087,2006-05-24 00:00:00,2016-05-19T07:44:29.680,0.016341,
378,SN2006ca,II,,,,,,275.725736,12.434508,275.725620833333,12.4342194444444,1.11491214464285,ADP.2016-09-25T07:08:29.984,2006-05-04 00:00:00,2016-04-25T09:04:03.996,nan,
379,SN2006bt,Ia-pec,,,,,,239.127381,20.046256,239.127208333333,20.046,1.09102444168792,ADP.2016-06-17T18:13:44.261,2006-04-26 00:00:00,2015-05-28T01:07:06.030,0.03208,
380,SN2006br,Ia,0,1,0,2,1,202.508525,13.416379,202.5075,13.4157805555556,4.18623152125872,ADP.2016-06-24T10:20:34.507,2006-04-25 00:00:00,2015-06-04T00:02:34.060,0.02468,
381,SN2006bh,Ia,,,1,,,340.073164,-66.4829,340.067079166667,-66.4850805555556,11.7480457909918,ADP.2018-06-02T03:35:25.169,2006-04-02 00:00:00,2018-05-27T07:17:16.423,0.1094,
382,SN2006be,II,,,,,,236.414081,28.095753,236.4125,28.0886694444444,25.9904217237918,ADP.2016-09-25T07:08:29.992,2006-03-24 00:00:00,2016-04-25T07:59:27.470,nan,
383,SN2006Y,II,,,,,,108.321993,-51.688383,108.321629166667,-51.6885611111111,1.03463552938545,ADP.2019-11-29T11:13:19.086,2006-02-03 00:00:00,2019-10-16T07:26:55.390,nan,
384,SN2006X,Ia,,,1,,,185.724916,15.809299,185.724958333333,15.8091888888889,0.422652195871299,ADP.2016-10-17T15:13:50.874,2006-02-04 00:00:00,2016-07-20T23:42:44.640,0.005251,
385,SN2006E,Ia,,,1,,,208.369362,5.20656,208.369370833333,5.20633055555556,0.826606867168864,ADP.2016-09-30T12:42:02.358,2006-01-12 00:00:00,2016-05-16T03:50:09.280,0.00269,
386,SN2006D,Ia,0,1,2,2,1 3,193.144511,-9.777183,193.141420833333,-9.77521944444445,13.0444046330722,ADP.2016-06-17T17:51:10.811,2006-01-11 00:00:00,2015-05-23T04:44:27.316,0.008563,
387,SN2005na,Ia,0,2,2,3,2 9,105.404168,14.13663,105.402579166667,14.13325,13.3725559534382,ADP.2016-06-21T00:31:05.284,2005-12-31 00:00:00,2015-04-11T23:38:57.626,0.026285,
